customer_id,date_of_birth,nationality,country_of_residence,occupation,employment_status,customer_since
ID_C00001,1952-05-06,Spain,Spain,Retired,Retired,2018-10-14
ID_C00002,1973-01-06,Spain,Spain,Sales representative,Employed,2022-08-28
ID_C00003,1955-01-27,Spain,Spain,Retired,Retired,2024-06-06
ID_C00004,1962-12-05,Spain,Spain,Construction worker,Employed,2022-10-19
ID_C00005,1999-08-09,Spain,Spain,Manufacturing worker,Self-employed,2023-05-06
ID_C00006,1936-04-06,Spain,Spain,Retired,Retired,2019-11-05
ID_C00007,1952-04-04,Spain,Spain,Retired,Retired,2023-10-17
ID_C00008,1955-01-15,Morocco,Spain,Other / inactive,Other,2020-12-06
ID_C00009,1993-12-11,Spain,Spain,Other / inactive,Other,2018-06-06
ID_C00010,1975-02-09,Spain,Spain,Unemployed,Unemployed,2020-07-26
ID_C00011,1988-10-04,Spain,Spain,Construction worker,Employed,2020-06-13
ID_C00012,1938-03-29,Spain,Spain,Retired,Retired,2021-08-26
ID_C00013,1968-05-02,Spain,Spain,Unemployed,Unemployed,2019-11-09
ID_C00014,1957-04-10,Spain,Spain,Retired,Retired,2021-03-27
ID_C00015,1975-10-28,Morocco,Spain,Construction worker,Employed,2020-12-30
ID_C00016,1992-01-12,Spain,Spain,Unemployed,Unemployed,2020-04-15
ID_C00017,1977-05-09,Spain,Spain,Shop owner,Employed,2022-11-16
ID_C00018,2004-04-11,Spain,Spain,Administrative worker,Employed,2020-02-21
ID_C00019,1960-04-09,Spain,Spain,Other / inactive,Other,2023-05-13
ID_C00020,1969-03-12,Spain,Spain,Restaurant worker,Employed,2019-10-04
ID_C00021,1960-11-29,Spain,Spain,Retired,Retired,2024-01-21
ID_C00022,1990-05-19,Spain,Spain,Restaurant worker,Employed,2020-07-22
ID_C00023,1937-06-02,Spain,Spain,Retired,Retired,2018-04-15
ID_C00024,1937-05-21,Spain,Spain,Retired,Retired,2019-01-19
ID_C00025,1952-12-23,Spain,Spain,Retail worker,Employed,2023-08-24
ID_C00026,2000-05-03,Spain,Spain,Unemployed,Unemployed,2024-02-08
ID_C00027,1980-05-04,Spain,Spain,Education professional,Employed,2019-06-27
ID_C00028,2006-04-30,Spain,Spain,Student,Student,2022-03-20
ID_C00029,1995-04-30,Spain,Spain,Unemployed,Unemployed,2022-01-08
ID_C00030,1967-02-02,Spain,Spain,Administrative worker,Employed,2018-12-09
ID_C00031,1966-08-09,Spain,Spain,Business and management professional,Employed,2021-03-01
