merchant_id,merchant_category,country,city
M0001,Utilities,Spain,Alicante
M0002,Travel,Spain,Barcelona
M0003,Education,Spain,Palma
M0004,Clothing,Spain,Madrid
M0005,Grocery,Spain,Zaragoza
M0006,Online Services,Italy,Rome
M0007,Utilities,Spain,Madrid
M0008,Utilities,Spain,Madrid
M0009,Grocery,Spain,Madrid
M0010,Travel,United Arab Emirates,Dubai
M0011,Transport,United States,Miami
M0012,Jewellery,Spain,Madrid
M0013,Clothing,Spain,Málaga
M0014,Education,Spain,Barcelona
M0015,Travel,Spain,Alicante
M0016,Restaurants,Spain,Madrid
M0017,Electronics,Spain,Madrid
M0018,Grocery,Spain,Zaragoza
M0019,Education,Spain,Madrid
M0020,Clothing,Spain,Seville
M0021,Healthcare,Spain,Bilbao
M0022,Transport,Spain,Córdoba
M0023,Online Services,France,Paris
M0024,Hotels,Spain,Córdoba
M0025,Utilities,Spain,Las Palmas de Gran Canaria
M0026,Restaurants,Spain,Málaga
M0027,Entertainment,Spain,Madrid
M0028,Grocery,Spain,Seville
M0029,Grocery,Spain,Valencia
M0030,Clothing,Spain,Málaga
M0031,Healthcare,Spain,Madrid
M0032,Online Services,Spain,Valencia
M0033,Transport,Spain,Barcelona
M0034,Transport,Spain,Barcelona
M0035,Entertainment,Spain,Málaga
M0036,Restaurants,Spain,Valladolid
M0037,Grocery,Spain,Valencia
M0038,Entertainment,Spain,Seville
M0039,Restaurants,Spain,Málaga
M0040,Clothing,Spain,Seville
M0041,Travel,Spain,Barcelona
M0042,Education,Spain,Madrid
M0043,Healthcare,Spain,Alicante
M0044,Transport,Spain,Zaragoza
M0045,Education,Spain,Murcia
M0046,Utilities,Spain,Valladolid
M0047,Transport,Spain,Valladolid
M0048,Restaurants,Spain,Zaragoza
M0049,Clothing,Spain,Las Palmas de Gran Canaria
M0050,Grocery,Spain,Barcelona
M0051,Restaurants,Spain,Madrid
M0052,Grocery,Spain,Madrid
M0053,Utilities,Spain,Zaragoza
M0054,Clothing,Spain,Seville
M0055,Healthcare,Spain,Las Palmas de Gran Canaria
M0056,Utilities,Spain,Zaragoza
M0057,Travel,Spain,Madrid
M0058,Electronics,Spain,Madrid
M0059,Grocery,Spain,Valencia
M0060,Grocery,Spain,Málaga
M0061,Clothing,Spain,Alicante
M0062,Entertainment,Spain,Barcelona
M0063,Electronics,Spain,Barcelona
M0064,Utilities,Spain,Madrid
M0065,Clothing,Spain,Valencia
M0066,Electronics,Spain,Murcia
M0067,Electronics,Spain,Valladolid
M0068,Transport,Spain,Valencia
M0069,Grocery,Spain,Gijón
M0070,Travel,Spain,Valladolid
M0071,Restaurants,Spain,Bilbao
M0072,Travel,Spain,Madrid
M0073,Education,Spain,Málaga
M0074,Restaurants,France,Paris
M0075,Grocery,Spain,Barcelona
M0076,Restaurants,Spain,Valencia
M0077,Restaurants,Spain,Córdoba
M0078,Clothing,Spain,Madrid
M0079,Electronics,Spain,Alicante
M0080,Utilities,Spain,Bilbao
M0081,Clothing,Spain,Gijón
M0082,Travel,Spain,Málaga
M0083,Utilities,Spain,Alicante
M0084,Restaurants,Germany,Berlin
M0085,Grocery,Spain,Madrid
M0086,Grocery,Spain,Madrid
M0087,Healthcare,Spain,Málaga
M0088,Entertainment,France,Paris
M0089,Restaurants,Spain,Zaragoza
M0090,Entertainment,Spain,Madrid
