transaction_id,customer_id,merchant_id,timestamp,amount,currency,country,city,device_id,payment_method,is_online,transaction_type
TX_2026_00000001,ID_C00001,M0028,2026-01-01 09:22:15,5.41,EUR,Spain,Seville,DEV_CUST_00001_2,Online Card,True,Online Payment
TX_2026_00000002,ID_C00002,M0152,2026-01-01 06:50:23,36.66,EUR,United Arab Emirates,Dubai,DEV_CUST_00002_1,Online Card,True,Online Payment
TX_2026_00000003,ID_C00002,M0059,2026-01-01 15:07:51,15.89,EUR,Spain,Valencia,DEV_CUST_00002_1,Contactless Card,False,Card Payment
TX_2026_00000004,ID_C00004,M0027,2026-01-01 18:30:02,23.62,EUR,Spain,Madrid,DEV_CUST_00004_1,Contactless Card,False,Card Payment
TX_2026_00000005,ID_C00006,M0086,2026-01-01 10:17:23,42.03,EUR,Spain,Madrid,DEV_CUST_00006_1,Contactless Card,False,Card Payment
TX_2026_00000006,ID_C00007,M0129,2026-01-01 17:48:39,85.55,EUR,Spain,Seville,DEV_CUST_00007_1,Digital Wallet,True,Online Payment
TX_2026_00000007,ID_C00011,M0205,2026-01-01 21:30:48,45.96,EUR,Spain,Málaga,DEV_CUST_00011_5,Chip & PIN,False,Card Payment
TX_2026_00000008,ID_C00012,M0036,2026-01-01 14:13:38,44.53,EUR,Spain,Valladolid,DEV_CUST_00012_2,Chip & PIN,False,Card Payment
TX_2026_00000009,ID_C00012,M0208,2026-01-01 20:13:21,19.95,EUR,Spain,Zaragoza,DEV_CUST_00012_2,Contactless Card,False,Card Payment
TX_2026_00000010,ID_C00013,M0227,2026-01-01 21:45:15,13.12,EUR,Spain,Córdoba,DEV_CUST_00013_1,Chip & PIN,False,Card Payment
TX_2026_00000011,ID_C00013,M0014,2026-01-01 14:43:16,21.03,EUR,Spain,Barcelona,DEV_CUST_00013_1,Online Card,True,Online Payment
TX_2026_00000012,ID_C00014,M0042,2026-01-01 16:02:40,46.46,EUR,Spain,Madrid,DEV_CUST_00014_3,Chip & PIN,False,Card Payment
TX_2026_00000013,ID_C00014,M0069,2026-01-01 15:57:03,13.88,EUR,Spain,Gijón,DEV_CUST_00014_2,Contactless Card,False,Card Payment
TX_2026_00000014,ID_C00015,M0134,2026-01-01 08:01:38,40.14,EUR,Spain,Madrid,DEV_CUST_00015_2,Online Card,True,Online Payment
TX_2026_00000015,ID_C00016,M0130,2026-01-01 06:10:42,20.0,EUR,Spain,Las Palmas de Gran Canaria,DEV_CUST_00016_1,Contactless Card,False,Card Payment
TX_2026_00000016,ID_C00016,M0128,2026-01-01 16:20:58,46.6,EUR,Spain,Alicante,DEV_CUST_00016_1,Cash Withdrawal,False,Card Payment
TX_2026_00000017,ID_C00017,M0118,2026-01-01 21:23:13,35.3,EUR,Spain,Madrid,DEV_CUST_00017_1,Cash Withdrawal,False,Card Payment
TX_2026_00000018,ID_C00021,M0234,2026-01-01 06:53:06,28.81,EUR,Spain,Valencia,DEV_CUST_00021_1,Contactless Card,False,Card Payment
TX_2026_00000019,ID_C00021,M0199,2026-01-01 21:46:50,17.14,EUR,Spain,Murcia,DEV_CUST_00021_1,Cash Withdrawal,False,Card Payment
TX_2026_00000020,ID_C00024,M0152,2026-01-01 18:26:40,73.89,EUR,United Arab Emirates,Dubai,DEV_CUST_00024_2,Contactless Card,False,Card Payment
TX_2026_00000021,ID_C00024,M0080,2026-01-01 10:07:04,56.63,EUR,Spain,Bilbao,DEV_CUST_00024_2,Online Card,True,Online Payment
TX_2026_00000022,ID_C00027,M0246,2026-01-01 13:55:05,69.47,EUR,Germany,Berlin,DEV_CUST_00027_2,Online Card,True,Online Payment
TX_2026_00000023,ID_C00027,M0045,2026-01-01 05:40:59,56.86,EUR,Spain,Murcia,DEV_CUST_00027_1,Contactless Card,False,Card Payment
TX_2026_00000024,ID_C00028,M0135,2026-01-01 11:04:20,35.75,EUR,Spain,Barcelona,DEV_CUST_00028_1,Online Card,True,Online Payment
TX_2026_00000025,ID_C00028,M0025,2026-01-01 10:35:25,51.5,EUR,Spain,Las Palmas de Gran Canaria,DEV_CUST_00028_2,Chip & PIN,False,Card Payment
TX_2026_00000026,ID_C00028,M0041,2026-01-01 23:08:24,39.59,EUR,Spain,Barcelona,DEV_CUST_00028_1,Online Card,True,Online Payment
TX_2026_00000027,ID_C00028,M0195,2026-01-01 17:09:54,44.35,EUR,Spain,Madrid,DEV_CUST_00028_1,Contactless Card,False,Card Payment
TX_2026_00000028,ID_C00030,M0142,2026-01-01 17:01:10,93.52,EUR,Spain,Palma,DEV_CUST_00030_1,Contactless Card,False,Card Payment
TX_2026_00000029,ID_C00030,M0003,2026-01-01 11:16:53,50.03,EUR,Spain,Palma,DEV_CUST_00030_1,Bank Transfer,True,Online Payment
TX_2026_00000030,ID_C00030,M0083,2026-01-01 21:37:25,49.78,EUR,Spain,Alicante,DEV_CUST_00030_1,Online Card,True,Online Payment
TX_2026_00000031,ID_C00031,M0195,2026-01-01 16:14:36,21.99,EUR,Spain,Madrid,DEV_CUST_00031_1,Chip & PIN,False,Card Payment
TX_2026_00000032,ID_C00031,M0043,2026-01-01 13:25:21,22.02,EUR,Spain,Alicante,DEV_CUST_00031_3,Chip & PIN,False,Card Payment
TX_2026_00000033,ID_C00032,M0068,2026-01-01 13:14:12,14.84,EUR,Spain,Valencia,DEV_CUST_00032_1,Contactless Card,False,Card Payment
TX_2026_00000034,ID_C00033,M0021,2026-01-01 13:40:51,32.9,EUR,Spain,Bilbao,DEV_CUST_00033_2,Online Card,True,Online Payment
TX_2026_00000035,ID_C00033,M0145,2026-01-01 09:10:22,29.79,EUR,Spain,Madrid,DEV_CUST_00033_3,Bank Transfer,True,Online Payment
TX_2026_00000036,ID_C00033,M0129,2026-01-01 09:50:41,40.75,EUR,Spain,Seville,DEV_CUST_00033_1,Online Card,True,Online Payment
TX_2026_00000037,ID_C00034,M0168,2026-01-01 00:44:04,58.93,EUR,Spain,Barcelona,DEV_CUST_00034_5,Online Card,True,Online Payment
TX_2026_00000038,ID_C00034,M0156,2026-01-01 13:49:48,32.05,EUR,Spain,Barcelona,DEV_CUST_00034_4,Online Card,True,Online Payment
TX_2026_00000039,ID_C00036,M0163,2026-01-01 16:15:39,35.93,EUR,Spain,Seville,DEV_CUST_00036_5,Contactless Card,False,Card Payment
TX_2026_00000040,ID_C00037,M0226,2026-01-01 14:01:22,110.62,EUR,Spain,Madrid,DEV_CUST_00037_2,Online Card,True,Online Payment
TX_2026_00000041,ID_C00037,M0098,2026-01-01 19:07:53,63.64,EUR,Spain,Murcia,DEV_CUST_00037_1,Digital Wallet,True,Online Payment
TX_2026_00000042,ID_C00037,M0119,2026-01-01 09:41:03,85.5,EUR,Spain,Barcelona,DEV_CUST_00037_2,Bank Transfer,True,Online Payment
TX_2026_00000043,ID_C00037,M0238,2026-01-01 22:00:59,42.93,EUR,Spain,Seville,DEV_CUST_00037_2,Digital Wallet,True,Online Payment
TX_2026_00000044,ID_C00037,M0031,2026-01-01 13:47:35,116.45,EUR,Spain,Madrid,DEV_CUST_00037_2,Online Card,True,Online Payment
TX_2026_00000045,ID_C00040,M0236,2026-01-01 11:26:18,43.17,EUR,Spain,Las Palmas de Gran Canaria,DEV_CUST_00040_1,Chip & PIN,False,Card Payment
TX_2026_00000046,ID_C00040,M0160,2026-01-01 11:36:57,31.18,EUR,Spain,Málaga,DEV_CUST_00040_1,Chip & PIN,False,Card Payment
TX_2026_00000047,ID_C00040,M0134,2026-01-01 21:16:07,51.17,EUR,Spain,Madrid,DEV_CUST_00040_1,Digital Wallet,True,Online Payment
TX_2026_00000048,ID_C00044,M0168,2026-01-01 09:18:10,25.27,EUR,Spain,Barcelona,DEV_CUST_00044_2,Contactless Card,False,Card Payment
TX_2026_00000049,ID_C00047,M0173,2026-01-01 10:43:08,55.06,EUR,Spain,Madrid,DEV_CUST_00047_1,Chip & PIN,False,Card Payment
TX_2026_00000050,ID_C00048,M0100,2026-01-01 10:08:39,36.44,EUR,Spain,Gijón,DEV_CUST_00048_1,Contactless Card,False,Card Payment
TX_2026_00000051,ID_C00049,M0106,2026-01-01 09:44:24,19.93,EUR,Spain,Valencia,DEV_CUST_00049_1,Online Card,True,Online Payment
TX_2026_00000052,ID_C00049,M0021,2026-01-01 08:15:16,40.7,EUR,Spain,Bilbao,DEV_CUST_00049_1,Contactless Card,False,Card Payment
TX_2026_00000053,ID_C00049,M0132,2026-01-01 09:24:49,42.29,EUR,Spain,Madrid,DEV_CUST_00049_1,Online Card,True,Online Payment
TX_2026_00000054,ID_C00049,M0167,2026-01-01 15:03:04,23.86,EUR,Spain,Zaragoza,DEV_CUST_00049_1,Chip & PIN,False,Card Payment
TX_2026_00000055,ID_C00050,M0164,2026-01-01 12:40:32,88.53,EUR,Spain,Bilbao,DEV_CUST_00050_2,Contactless Card,False,Card Payment
TX_2026_00000056,ID_C00050,M0150,2026-01-01 14:19:57,60.46,EUR,Spain,Madrid,DEV_CUST_00050_1,Contactless Card,False,Card Payment
TX_2026_00000057,ID_C00050,M0214,2026-01-01 20:01:06,62.79,EUR,Spain,Barcelona,DEV_CUST_00050_2,Chip & PIN,False,Card Payment
TX_2026_00000058,ID_C00051,M0075,2026-01-01 15:30:09,33.91,EUR,Spain,Barcelona,DEV_CUST_00051_4,Online Card,True,Online Payment
TX_2026_00000059,ID_C00053,M0026,2026-01-01 08:46:23,17.68,EUR,Spain,Málaga,DEV_CUST_00053_3,Contactless Card,False,Card Payment
TX_2026_00000060,ID_C00054,M0189,2026-01-01 08:18:45,18.83,EUR,Spain,Palma,DEV_CUST_00054_2,Contactless Card,False,Card Payment
TX_2026_00000061,ID_C00056,M0125,2026-01-01 20:58:57,32.39,EUR,Spain,Seville,DEV_CUST_00056_1,Chip & PIN,False,Card Payment
TX_2026_00000062,ID_C00057,M0218,2026-01-01 00:33:23,6.53,EUR,Spain,Valencia,DEV_CUST_00057_1,Contactless Card,False,Card Payment
TX_2026_00000063,ID_C00057,M0166,2026-01-01 01:52:40,26.92,EUR,Spain,Seville,DEV_CUST_00057_2,Contactless Card,False,Card Payment
TX_2026_00000064,ID_C00058,M0044,2026-01-01 18:49:27,49.94,EUR,Spain,Zaragoza,DEV_CUST_00058_1,Bank Transfer,True,Online Payment
TX_2026_00000065,ID_C00059,M0241,2026-01-01 09:31:21,17.61,EUR,Spain,Madrid,DEV_CUST_00059_1,Digital Wallet,True,Online Payment
TX_2026_00000066,ID_C00059,M0016,2026-01-01 04:07:07,28.03,EUR,Spain,Madrid,DEV_CUST_00059_1,Online Card,True,Online Payment
TX_2026_00000067,ID_C00060,M0080,2026-01-01 14:59:24,40.7,EUR,Spain,Bilbao,DEV_CUST_00060_2,Contactless Card,False,Card Payment
TX_2026_00000068,ID_C00060,M0089,2026-01-01 09:18:54,14.87,EUR,Spain,Zaragoza,DEV_CUST_00060_1,Online Card,True,Online Payment
TX_2026_00000069,ID_C00061,M0042,2026-01-01 18:42:16,64.86,EUR,Spain,Madrid,DEV_CUST_00061_3,Chip & PIN,False,Card Payment
TX_2026_00000070,ID_C00061,M0214,2026-01-01 09:57:30,46.91,EUR,Spain,Barcelona,DEV_CUST_00061_2,Bank Transfer,True,Online Payment
TX_2026_00000071,ID_C00062,M0138,2026-01-01 01:02:21,121.19,EUR,Spain,Bilbao,DEV_CUST_00062_1,Contactless Card,False,Card Payment
TX_2026_00000072,ID_C00062,M0062,2026-01-01 20:40:48,93.42,EUR,Spain,Barcelona,DEV_CUST_00062_1,Cash Withdrawal,False,Card Payment
TX_2026_00000073,ID_C00062,M0077,2026-01-01 16:51:19,78.17,EUR,Spain,Córdoba,DEV_CUST_00062_1,Contactless Card,False,Card Payment
